,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Years Played,Height(cm)
3074,Mychal Mulder|muldemy01,2020,2021,G-F,6-3,184.0,June 12 1994,Vincennes Kentucky,1,190.5
3096,Dejounte Murray|murrade01,2017,2021,G,6-4,180.0,September 19 1996,Washington,4,193.04
3097,Jamal Murray|murraja01,2017,2021,G,6-3,215.0,February 23 1997,Kentucky,4,190.5
3106,Mike Muscala|muscami01,2014,2021,F-C,6-10,240.0,July 1 1991,Bucknell,7,208.28
3112,Sviatoslav Mykhailiuk|mykhasv01,2019,2021,G-F,6-7,205.0,June 10 1997,Kansas,2,200.66
3120,Abdel Nader|naderab01,2018,2021,F,6-5,225.0,September 25 1993,Northern Illinois Iowa State,3,195.58
3126,Larry Nance|nancela02,2016,2021,F-C,6-7,245.0,January 1 1993,Wyoming,5,200.66
3158,Raul Neto|netora01,2016,2021,G,6-1,180.0,May 19 1992,,5,185.42000000000002
3171,Georges Niang|niangge01,2017,2021,F,6-7,230.0,June 17 1993,Iowa State,4,200.66
3188,Nerlens Noel|noelne01,2015,2021,C-F,6-11,220.0,April 10 1994,Kentucky,6,210.82
3207,Jaylen Nowell|nowelja01,2020,2021,G,6-4,201.0,July 9 1999,Washington,1,193.04
3210,Frank Ntilikina|ntilila01,2018,2021,G,6-4,200.0,July 28 1998,,3,193.04
3211,Kendrick Nunn|nunnke01,2020,2021,G,6-2,190.0,August 3 1995,Illinois Oakland,1,187.96
3213,Jusuf Nurkić|nurkiju01,2015,2021,C,6-11,290.0,August 23 1994,,6,210.82
3215,David Nwaba|nwabada01,2017,2021,G,6-5,219.0,January 14 1993,Cal Poly,4,195.58
3238,Royce O'Neale|onealro01,2018,2021,F,6-4,226.0,June 5 1993,Denver Baylor,3,193.04
3254,Semi Ojeleye|ojelese01,2018,2021,F,6-6,240.0,December 5 1994,Duke SMU,3,198.12
3256,Jahlil Okafor|okafoja01,2016,2021,C-F,6-10,270.0,December 15 1995,Duke,5,208.28
3259,Josh Okogie|okogijo01,2019,2021,G,6-4,213.0,September 1 1998,Georgia Tech,2,193.04
3262,KZ Okpala|okpalkz01,2020,2021,F,6-8,215.0,April 28 1999,Stanford,1,203.2
3264,Victor Oladipo|oladivi01,2014,2021,G,6-4,213.0,May 4 1992,Indiana,7,193.04
3278,Kelly Olynyk|olynyke01,2014,2021,C-F,6-11,240.0,April 19 1991,Gonzaga,7,210.82
3279,Miye Oni|onimi01,2020,2021,G,6-5,206.0,August 4 1997,Yale,1,195.58
3288,Cedi Osman|osmande01,2018,2021,F,6-7,230.0,April 8 1995,,3,200.66
3295,Kelly Oubre|oubreke01,2016,2021,F,6-7,203.0,December 9 1995,Kansas,5,200.66
3349,Eric Paschall|pascher01,2020,2021,F,6-6,255.0,November 4 1996,Fordham Villanova,1,198.12
3350,Anžejs Pasečņiks|pasecan01,2020,2021,C,7-1,229.0,December 20 1995,,1,215.9
3359,Patrick Patterson|pattepa01,2011,2021,F,6-8,235.0,March 14 1989,Kentucky,10,203.2
3366,Chris Paul|paulch01,2006,2021,G,6-0,175.0,May 6 1985,Wake Forest,15,182.88
3376,Cameron Payne|payneca01,2016,2021,G,6-1,183.0,August 8 1994,Murray State,5,185.42000000000002
3379,Elfrid Payton|paytoel01,2015,2021,G,6-3,195.0,February 22 1994,Louisiana,6,190.5
3446,Theo Pinson|pinsoth01,2019,2021,G,6-5,212.0,November 5 1995,UNC,2,195.58
3455,Mason Plumlee|plumlma01,2014,2021,C-F,6-11,254.0,March 5 1990,Duke,7,210.82
3459,Jakob Poeltl|poeltja01,2017,2021,C,7-1,245.0,October 15 1995,Utah,4,215.9
3460,Vincent Poirier|poirivi01,2020,2021,C,7-0,235.0,October 17 1993,,1,213.36
3470,Jordan Poole|poolejo01,2020,2021,G,6-4,194.0,June 19 1999,Michigan,1,193.04
3479,Michael Porter|portemi01,2020,2021,F,6-10,218.0,June 29 1998,Missouri,1,208.28
3480,Otto Porter|porteot01,2014,2021,F,6-8,198.0,June 3 1993,Georgetown,7,203.2
3483,Bobby Portis|portibo01,2016,2021,F,6-10,250.0,February 10 1995,Arkansas,5,208.28
3485,Kristaps Porziņģis|porzikr01,2016,2021,F-C,7-3,240.0,August 2 1995,,5,220.98
3492,Dwight Powell|poweldw01,2015,2021,F-C,6-10,240.0,July 20 1991,Stanford,6,208.28
3495,Norman Powell|powelno01,2016,2021,G,6-3,215.0,May 25 1993,UCLA,5,190.5
3514,Taurean Prince|princta02,2017,2021,F,6-7,218.0,March 22 1994,Baylor,4,200.66
3558,Julius Randle|randlju01,2015,2021,F-C,6-8,250.0,November 29 1994,Kentucky,6,203.2
3587,Cam Reddish|reddica01,2020,2021,F,6-8,218.0,September 1 1999,Duke,1,203.2
3589,J.J. Redick|redicjj01,2007,2021,G,6-3,200.0,June 24 1984,Duke,14,190.5
3606,Naz Reid|reidna01,2020,2021,F,6-9,264.0,August 26 1999,LSU,1,205.74
3631,Josh Richardson|richajo01,2016,2021,G,6-5,200.0,September 15 1993,Tennessee,5,195.58
3657,Austin Rivers|riverau01,2013,2021,G,6-4,200.0,August 1 1992,Duke,8,193.04
3685,Duncan Robinson|robindu01,2019,2021,G-F,6-7,215.0,April 22 1994,Williams Michigan,2,200.66
3689,Glenn Robinson|robingl02,2015,2021,G-F,6-6,222.0,January 8 1994,Michigan,6,198.12
3693,Jerome Robinson|robinje01,2019,2021,G,6-4,190.0,February 22 1997,Boston College,2,193.04
3696,Mitchell Robinson|robinmi01,2019,2021,C,7-0,240.0,April 1 1998,Western Kentucky,2,213.36
3708,Isaiah Roby|robyis01,2020,2021,F,6-8,230.0,February 3 1998,Nebraska,1,203.2
3730,Rajon Rondo|rondora01,2007,2021,G,6-1,180.0,February 22 1986,Kentucky,14,185.42000000000002
3733,Derrick Rose|rosede01,2009,2021,G,6-2,200.0,October 4 1988,Memphis,12,187.96
3742,Terrence Ross|rosste01,2013,2021,F-G,6-6,206.0,February 5 1991,Washington,8,198.12
3759,Terry Rozier|roziete01,2016,2021,G,6-1,190.0,March 17 1994,Louisville,5,185.42000000000002
3760,Ricky Rubio|rubiori01,2012,2021,G,6-3,190.0,October 21 1990,,9,190.5
3780,D'Angelo Russell|russeda01,2016,2021,G,6-4,193.0,February 23 1996,Ohio State,5,193.04
3787,Domantas Sabonis|sabondo01,2017,2021,F-C,6-11,240.0,May 3 1996,Gonzaga,4,210.82
3796,Luka Šamanić|samanlu01,2020,2021,F,6-10,227.0,January 9 2000,,1,208.28
3799,JaKarr Sampson|sampsja02,2015,2021,G-F,6-7,214.0,March 20 1993,St. John's,6,200.66
3815,Dario Šarić|saricda01,2017,2021,F,6-10,225.0,April 8 1994,,4,208.28
3818,Tomáš Satoranský|satorto01,2017,2021,G,6-7,210.0,October 30 1991,,4,200.66
3855,Dennis Schröder|schrode01,2014,2021,G,6-3,172.0,September 15 1993,,7,190.5
3868,Mike Scott|scottmi01,2013,2021,F,6-7,237.0,July 16 1988,Virginia,8,200.66
3898,Collin Sexton|sextoco01,2019,2021,G,6-1,190.0,January 4 1999,Alabama,2,185.42000000000002
3906,Landry Shamet|shamela01,2019,2021,G,6-4,190.0,March 13 1997,Wichita State,2,193.04
3937,Pascal Siakam|siakapa01,2017,2021,F,6-9,230.0,April 2 1994,New Mexico State,4,205.74
3951,Chris Silva|silvach01,2020,2021,F,6-8,234.0,September 19 1996,South Carolina,1,203.2
3953,Ben Simmons|simmobe01,2018,2021,G-F,6-11,240.0,July 20 1996,LSU,3,210.82
3964,Anfernee Simons|simonan01,2019,2021,G,6-3,181.0,June 8 1999,,2,190.5
3998,Marcus Smart|smartma01,2015,2021,G,6-3,220.0,March 6 1994,Oklahoma State,6,190.5
4014,Dennis Smith|smithde03,2018,2021,G,6-2,205.0,November 25 1997,NC State,3,187.96
4025,Ish Smith|smithis01,2011,2021,G,6-0,175.0,July 5 1988,Wake Forest,10,182.88
4065,Tony Snell|snellto01,2014,2021,G-F,6-6,213.0,November 10 1991,New Mexico,7,198.12
4172,Max Strus|strusma01,2020,2021,G,6-5,215.0,March 28 1996,Lewis (IL) DePaul,1,195.58
4179,Edmond Sumner|sumneed01,2018,2021,G,6-4,196.0,December 31 1995,Xavier,3,193.04
4214,Jayson Tatum|tatumja01,2018,2021,F,6-8,210.0,March 3 1998,Duke,3,203.2
4235,Jeff Teague|teaguje01,2010,2021,G,6-3,195.0,June 10 1988,Wake Forest,11,190.5
4240,Garrett Temple|templga01,2010,2021,G,6-5,195.0,May 8 1986,LSU,11,195.58
4253,Daniel Theis|theisda01,2018,2021,C,6-8,245.0,April 4 1992,,3,203.2
4278,Matt Thomas|thomama02,2020,2021,G,6-4,190.0,August 4 1994,Iowa State,1,193.04
4303,Tristan Thompson|thomptr01,2012,2021,F-C,6-9,254.0,March 13 1991,Texas,9,205.74
4310,Sindarius Thornwell|thornsi01,2018,2021,G,6-4,215.0,November 15 1994,South Carolina,3,193.04
4315,Matisse Thybulle|thybuma01,2020,2021,G,6-5,200.0,March 4 1997,Washington,1,195.58
4341,Juan Toscano-Anderson|toscaju01,2020,2021,F,6-6,209.0,April 10 1993,Marquette,1,198.12
4349,Karl-Anthony Towns|townska01,2016,2021,C-F,6-11,248.0,November 15 1995,Kentucky,5,210.82
4355,Gary Trent|trentga02,2019,2021,G,6-5,209.0,January 18 1999,Duke,2,195.58
4371,P.J. Tucker|tuckepj01,2007,2021,F,6-5,245.0,May 5 1985,Texas,14,195.58
4388,Myles Turner|turnemy01,2016,2021,C-F,6-11,250.0,March 24 1996,Texas,5,210.82
4409,Jonas Valančiūnas|valanjo01,2013,2021,C,6-11,265.0,May 6 1992,,8,210.82
4411,Denzel Valentine|valende01,2017,2021,G,6-4,220.0,November 16 1993,Michigan State,4,193.04
4420,Fred VanVleet|vanvlfr01,2017,2021,G,6-1,197.0,February 25 1994,Wichita State,4,185.42000000000002
4423,Jarred Vanderbilt|vandeja01,2019,2021,F,6-9,214.0,April 3 1999,Kentucky,2,205.74
4446,Gabe Vincent|vincega01,2020,2021,G,6-3,200.0,June 14 1996,UC Santa Barbara,1,190.5
4463,Nikola Vučević|vucevni01,2012,2021,C,6-11,260.0,October 24 1990,USC,9,210.82
4467,Dean Wade|wadede01,2020,2021,F,6-9,228.0,November 20 1996,Kansas State,1,205.74
4475,Moritz Wagner|wagnemo01,2019,2021,F-C,6-11,245.0,April 26 1997,Michigan,2,210.82
4490,Kemba Walker|walkeke02,2012,2021,G,6-0,184.0,May 8 1990,UConn,9,182.88
4492,Lonnie Walker|walkelo01,2019,2021,G,6-4,204.0,December 14 1998,Miami (FL),2,193.04
4496,John Wall|walljo01,2011,2021,G,6-3,210.0,September 6 1990,Kentucky,10,190.5
4514,Brad Wanamaker|wanambr01,2019,2021,G,6-3,210.0,July 25 1989,Pitt,2,190.5
4528,T.J. Warren|warretj01,2015,2021,F,6-8,220.0,September 5 1993,NC State,6,203.2
4541,P.J. Washington|washipj01,2020,2021,F,6-7,230.0,August 23 1998,Kentucky,1,200.66
4547,Yuta Watanabe|watanyu01,2019,2021,F,6-9,215.0,October 13 1994,George Washington,2,205.74
4548,Tremont Waters|watertr01,2020,2021,G,5-10,175.0,January 10 1998,LSU,1,177.8
4554,Paul Watson|watsopa01,2020,2021,G,6-6,210.0,December 30 1994,Fresno State,1,198.12
4603,Russell Westbrook|westbru01,2009,2021,G,6-3,200.0,November 12 1988,UCLA,12,190.5
4613,Coby White|whiteco01,2020,2021,G,6-5,195.0,February 16 2000,UNC,1,195.58
4615,Derrick White|whitede01,2018,2021,G,6-4,190.0,July 2 1994,Colorado-Colorado Springs Colorado,3,193.04
4633,Hassan Whiteside|whiteha01,2011,2021,C,7-0,265.0,June 13 1989,Marshall,10,213.36
4643,Andrew Wiggins|wiggian01,2015,2021,F-G,6-7,197.0,February 23 1995,Kansas,6,200.66
4690,Grant Williams|willigr01,2020,2021,F,6-6,236.0,November 30 1998,Tennessee,1,198.12
4706,Kenrich Williams|willike04,2019,2021,G-F,6-6,210.0,December 2 1994,TCU,2,198.12
4709,Lou Williams|willilo02,2006,2021,G,6-1,175.0,October 27 1986,,15,185.42000000000002
4727,Robert Williams|williro04,2019,2021,C-F,6-8,237.0,October 17 1997,Texas A&M,2,203.2
4746,Zion Williamson|willizi01,2020,2021,F-C,6-7,284.0,July 6 2000,Duke,1,200.66
4755,D.J. Wilson|wilsodj01,2018,2021,F,6-10,231.0,February 19 1996,Michigan,3,208.28
4798,Christian Wood|woodch01,2016,2021,F,6-10,214.0,September 27 1995,UNLV,5,208.28
4823,Delon Wright|wrighde01,2016,2021,G,6-5,185.0,April 26 1992,Utah,5,195.58
4854,Thaddeus Young|youngth01,2008,2021,F,6-8,235.0,June 21 1988,Georgia Tech,13,203.2
4856,Trae Young|youngtr01,2019,2021,G,6-1,180.0,September 19 1998,Oklahoma,2,185.42000000000002
4860,Cody Zeller|zelleco01,2014,2021,C-F,6-11,240.0,October 5 1992,Indiana,7,210.82
4876,Ivica Zubac|zubaciv01,2017,2021,C,7-0,240.0,March 18 1997,,4,213.36
